individual,given-name,kingdom-or-surname,parent,taxon
2,"Acanthocephala Animalia","Animalia",1,"Phylum"
3,"Archiacanthocephala Acanthocephala","Animalia",2,"Class"
4,"Apororhynchida Archiacanthocephala","Animalia",3,"Order"
5,"Apororhynchidae Apororhynchida","Animalia",4,"Family"
6,"Gigantorhynchida Archiacanthocephala","Animalia",3,"Order"
7,"Giganthorhynchidae Gigantorhynchida","Animalia",6,"Family"
8,"Moniliformida Archiacanthocephala","Animalia",3,"Order"
9,"Moniliformidae Moniliformida","Animalia",8,"Family"
10,"Oligacanthorhynchida Archiacanthocephala","Animalia",3,"Order"
11,"Oligacanthorhynchidae Oligacanthorhynchida","Animalia",10,"Family"
12,"Eoacanthocephala Acanthocephala","Animalia",2,"Class"
13,"Gyracanthocephala Eoacanthocephala","Animalia",12,"Order"
14,"Quadrigyridae Gyracanthocephala","Animalia",13,"Family"
15,"Neoechinorhynchida Eoacanthocephala","Animalia",12,"Order"
16,"Dendronucleatidae Neoechinorhynchida","Animalia",15,"Family"
17,"Neoechinorhynchidae Neoechinorhynchida","Animalia",15,"Family"
18,"Tenuisentidae Neoechinorhynchida","Animalia",15,"Family"
19,"Palaeacanthocephala Acanthocephala","Animalia",2,"Class"
20,"Echinorhynchida Palaeacanthocephala","Animalia",19,"Order"
21,"Arhythmacanthidae Echinorhynchida","Animalia",20,"Family"
22,"Cavisomidae Echinorhynchida","Animalia",20,"Family"
23,"Diplosentidae Echinorhynchida","Animalia",20,"Family"
24,"Echinorhynchidae Echinorhynchida","Animalia",20,"Family"
25,"Fessisentidae Echinorhynchida","Animalia",20,"Family"
26,"Heteracanthocephalidae Echinorhynchida","Animalia",20,"Family"
27,"Hypoechinorhynchidae Echinorhynchida","Animalia",20,"Family"
28,"Illiosentidae Echinorhynchida","Animalia",20,"Family"
29,"Polyacanthorhynchidae Echinorhynchida","Animalia",20,"Family"
30,"Pomphorhynchidae Echinorhynchida","Animalia",20,"Family"
31,"Rhadinorhynchidae Echinorhynchida","Animalia",20,"Family"
32,"Polymorphida Palaeacanthocephala","Animalia",19,"Order"
33,"Centrorhynchidae Polymorphida","Animalia",32,"Family"
34,"Plagiorhynchidae Polymorphida","Animalia",32,"Family"
35,"Polymorphidae Polymorphida","Animalia",32,"Family"
36,"Annelida Animalia","Animalia",1,"Phylum"
37,"Clitellata Annelida","Animalia",36,"Class"
38,"Acanthobdellida Clitellata","Animalia",37,"Order"
39,"Acanthobdellidae Acanthobdellida","Animalia",38,"Family"
40,"Arhynchobdellida Clitellata","Animalia",37,"Order"
41,"Cylicobdellidae Arhynchobdellida","Animalia",40,"Family"
42,"Erpobdellidae Arhynchobdellida","Animalia",40,"Family"
43,"Haemadipsidae Arhynchobdellida","Animalia",40,"Family"
44,"Haemopidae Arhynchobdellida","Animalia",40,"Family"
45,"Hirudinidae Arhynchobdellida","Animalia",40,"Family"
46,"Branchiobdellida Clitellata","Animalia",37,"Order"
47,"Bdellodrilidae Branchiobdellida","Animalia",46,"Family"
48,"Branchiobdellidae Branchiobdellida","Animalia",46,"Family"
49,"Cambarincolidae Branchiobdellida","Animalia",46,"Family"
50,"Caridinophilidae Branchiobdellida","Animalia",46,"Family"
51,"Xironodrilidae Branchiobdellida","Animalia",46,"Family"
52,"Haplotaxida Clitellata","Animalia",37,"Order"
53,"Alluroididae Haplotaxida","Animalia",52,"Family"
54,"Dorydrilidae Haplotaxida","Animalia",52,"Family"
55,"Enchytraeidae Haplotaxida","Animalia",52,"Family"
56,"Glossoscolecidae Haplotaxida","Animalia",52,"Family"
57,"Haplotaxidae Haplotaxida","Animalia",52,"Family"
58,"Naididae Haplotaxida","Animalia",52,"Family"
59,"Opistocystidae Haplotaxida","Animalia",52,"Family"
60,"Phreodrilidae Haplotaxida","Animalia",52,"Family"
61,"Sparganophilidae Haplotaxida","Animalia",52,"Family"
62,"Tubificidae Haplotaxida","Animalia",52,"Family"
63,"Lumbriculida Clitellata","Animalia",37,"Order"
64,"Lumbriculidae Lumbriculida","Animalia",63,"Family"
65,"Rhynchobdellida Clitellata","Animalia",37,"Order"
66,"Glossiphoniidae Rhynchobdellida","Animalia",65,"Family"
67,"Ozobranchidae Rhynchobdellida","Animalia",65,"Family"
68,"Piscicolidae Rhynchobdellida","Animalia",65,"Family"
69,"Ctenophora Animalia","Animalia",1,"Phylum"
70,"Tentaculata Ctenophora","Animalia",69,"Class"
71,"Cydippida Tentaculata","Animalia",70,"Order"
72,"Ctenellidae Cydippida","Animalia",71,"Family"
73,"Lobata Tentaculata","Animalia",70,"Order"
74,"Cryptolobatidae Lobata","Animalia",73,"Family"
75,"Cryptocodidae Cydippida","Animalia",71,"Family"
76,"Platyctenida Tentaculata","Animalia",70,"Order"
77,"Coeloplanidae Platyctenida","Animalia",76,"Family"
78,"Cestida Tentaculata","Animalia",70,"Order"
79,"Cestidae Cestida","Animalia",78,"Family"
80,"Bolinopsidae Lobata","Animalia",73,"Family"
81,"Nuda Ctenophora","Animalia",69,"Class"
82,"Beroida Nuda","Animalia",81,"Order"
83,"Beroidae Beroida","Animalia",82,"Family"
84,"Polychaeta Annelida","Animalia",36,"Class"
85,"Aciculata Polychaeta","Animalia",84,"Order"
86,"Aberrantidae Aciculata","Animalia",85,"Family"
87,"Acoetidae Aciculata","Animalia",85,"Family"
88,"Alciopidae Aciculata","Animalia",85,"Family"
89,"Amphinomidae Aciculata","Animalia",85,"Family"
90,"Aphroditidae Aciculata","Animalia",85,"Family"
91,"Chrysopetalidae Aciculata","Animalia",85,"Family"
92,"Dorvilleidae Aciculata","Animalia",85,"Family"
93,"Eulepethidae Aciculata","Animalia",85,"Family"
94,"Eunicidae Aciculata","Animalia",85,"Family"
95,"Euphrosinidae Aciculata","Animalia",85,"Family"
96,"Glyceridae Aciculata","Animalia",85,"Family"
97,"Goniadidae Aciculata","Animalia",85,"Family"
98,"Hartmaniellidae Aciculata","Animalia",85,"Family"
99,"Hesionidae Aciculata","Animalia",85,"Family"
100,"Histriobdellidae Aciculata","Animalia",85,"Family"
101,"Ichthyotomidae Aciculata","Animalia",85,"Family"
